abschaffen,to abolish
Aktentasche,briefcase
Angelhacken,fishing hook
Anhänger,trailer
anordnen,to arrange
Anschluss,connection
audiobook,Hörbuch
aufklappen,to unfold
aufmachen,to open
Aufmacher,lead story
aufschnappen,to snap up
Auftrieb,buoyancy
Balken,beam
beam,Balken
bedside rug,Bettvorleger
Besteck,cutlery
Bettvorleger,bedside rug
book cover,Einband
book volume,Buchband
bow,Bug
briefcase,Aktentasche
Buchband,book volume
bucket,Kübel
Bug,bow
buoyancy,Auftrieb
clover,Kleeblatt
compact,kompakt
connection,Anschluss
creation,Schöpfung
current,Strömung
cutlery,Besteck
Dachrinne,gutter
dam,Staudamm
das Gute,the good
decoration,Verzierung
deter,to deter
deterrent,deterrent
deterrent,deterrent
draft,Luftzug
Eiheit,unity
Einband,book cover
Einnahmen,income
einpflanzen,to implant
eintönig,monotonous
entsichern,to unlock
erahnen,to guess
Erbgut,genetic material
etwas lassen,to leave something
faucet,wasserhahn
Fensterbrett,windowsill
fishing hook,Angelhacken
Fisiosreaktor,fission reactor
fission reactor,Fisiosreaktor
fixed,fixiert
fixiert,fixed
Flüssigsalzreaktor,molten salt reactor
focus,Schwerpunkt
fusion reactor,Fusionsreaktor
Fusionsreaktor,fusion reactor
Geländer,railing
genetic material,Erbgut
geothermal power plant,Geothermiekraftwerk
Geothermiekraftwerk,geothermal power plant
gespannt sein,to be excited
Gezeitenkraftwerk,tidal power plant
gießen,to pour
grob,rough
gutter,Dachrinne
gärtnern,to garden
hammock,Hängematte
Heck,stern
hell,Hölle
hidden,verborgen
hiker,Wanderer
Himmel,sky
Hängematte,hammock
Hölle,hell
Hörbuch,audiobook
income,Einnahmen
jäten,to weed
kippeln,to wobble
Kleeblatt,clover
kompakt,compact
Kraftwerk,power plant
königlich,royal
Kübel,bucket
langwierig,lengthy
lead story,Aufmacher
lengthy,langwierig
less than,weniger als
Luftzug,draft
mine,Mine
Mine,mine
mitbekommen,to notice
molten salt reactor,Flüssigsalzreaktor
monotonous,eintönig
Morgentau,morning dew
morning dew,Morgentau
nicht mehr,no more
no more,nicht mehr
on time,rechtzeitig
physiologie,physiology
physiology,physiologie
pointer,Zeiger
power plant,Kraftwerk
preparation,Präparat
Präparat,preparation
präparieren,to prepare
psychologie,psychology
psychology,psychologie
railing,Geländer
rampart,Wall
randomisiert,randomized
randomized,randomisiert
rechtzeitig,on time
representation,Vertretung
rough,grob
royal,königlich
sample,Stichprobe
saw,Säge
scharf,sharp
schweigen,to be silent
Schwerpunkt,focus
Schöpfung,creation
sharp,scharf
shooting star,Sternschnuppe
sichern,to secure
sieben,to sift
sky,Himmel
so that,sodass
sodass,so that
starboard,Steuerbord
Stau,traffic jam
Staudamm,dam
Staukraftwerk,storage power plant
stern,Heck
Sternschnuppe,shooting star
Steuerbord,starboard
Stichprobe,sample
still,weiterhin
storage power plant,Staukraftwerk
Strömung,current
stömen,to stream
substation,Umspannwerk
Säge,saw
tauen,to thaw
the good,das Gute
tidal power plant,Gezeitenkraftwerk
to abolish,abschaffen
to arrange,anordnen
to be excited,gespannt sein
to be silent,schweigen
to bustle,wuseln
to conjure,zaubern
to continue,weitermachen
to deter,deter
to garden,gärtnern
to guess,erahnen
to implant,einpflanzen
to leave something,etwas lassen
to notice,mitbekommen
to open,aufmachen
to pour,gießen
to prepare,präparieren
to secure,sichern
to seesaw,wippen
to sift,sieben
to sink,versinken
to snap up,aufschnappen
to stream,stömen
to thaw,tauen
to unfold,"aufklappen
entfalten"
to unlock,entsichern
to weed,jäten
to wobble,kippeln
to wobble,wackeln
tome,Wälzer
traffic jam,Stau
trailer,Anhänger
Umspannwerk,substation
unity,Eiheit
verborgen,hidden
versinken,to sink
Vertretung,representation
Verzierung,decoration
wackeln,to wobble
Wal,whale
Wall,rampart
Wanderer,hiker
wasserhahn,faucet
weiterhin,still
weitermachen,to continue
weniger als,less than
whale,Wal
windowsill,Fensterbrett
wippen,to seesaw
wuseln,to bustle
Wälzer,tome
zaubern,to conjure
Zeiger,pointer
