sell,verkaufen
options,Optionen
experience,Erfahrung
rates,Preise
create,erstellen
key,Schlüssel
body,Körper
young,jung
important,wichtig
field,Feld
few,wenige
east,Osten
paper,Papier
single,einzeln
age,Alter
activities,Aktivitäten
club,Klub
example,Beispiel
girls,Mädchen
additional,zusätzlich
password,Passwort
latest,neueste
something,etwas
road,Straße
gift,Geschenk
question,Frage
changes,Änderungen
night,Nacht
hard,hart
pay,bezahlen
four,vier
poker,Poker
status,Status
browse,durchsuchen
issue,Ausgabe
range,Bereich
building,Gebäude
seller,Verkäufer
court,Gericht
always,immer
result,Ergebnis
audio,Audio
light,Licht
write,schreiben
war,Krieg
offer,Angebot
blue,blau
groups,Gruppen
easy,einfach
given,gegeben
files,Dateien
event,Ereignis
release,Veröffentlichung
analysis,Analyse
request,Anfrage
making,machen
picture,Bild
needs,Bedürfnisse
possible,möglich
might,könnte
professional,professionell
yet,noch
month,Monat
major,Haupt
star,Stern
areas,Bereiche
future,Zukunft
space,Raum
committee,Ausschuss
hand,Hand
sun,Sonne
cards,Karten
problems,Probleme
meeting,Treffen
become,werden
interest,Interesse
child,Kind
keep,behalten
enter,eingeben
share,teilen
similar,ähnlich
garden,Garten
schools,Schulen
million,Million
added,hinzugefügt
reference,Referenz
companies,Unternehmen
listed,aufgelistet
baby,Baby
learning,Lernen
energy,Energie
run,laufen
delivery,Lieferung
net,Netz
popular,beliebt
term,Begriff
film,Film
stories,Geschichten
put,stellen
computers,Computer
verkaufen,sell
Optionen,options
Erfahrung,experience
Preise,rates
erstellen,create
Schlüssel,key
Körper,body
jung,young
wichtig,important
Feld,field
wenige,few
Osten,east
Papier,paper
einzeln,single
Alter,age
Aktivitäten,activities
Klub,club
Beispiel,example
Mädchen,girls
zusätzlich,additional
Passwort,password
neueste,latest
etwas,something
Straße,road
Geschenk,gift
Frage,question
Änderungen,changes
Nacht,night
hart,hard
bezahlen,pay
vier,four
Poker,poker
Status,status
durchsuchen,browse
Ausgabe,issue
Bereich,range
Gebäude,building
Verkäufer,seller
Gericht,court
immer,always
Ergebnis,result
Audio,audio
Licht,light
schreiben,write
Krieg,war
Angebot,offer
blau,blue
Gruppen,groups
einfach,easy
gegeben,given
Dateien,files
Ereignis,event
Veröffentlichung,release
Analyse,analysis
Anfrage,request
machen,making
Bild,picture
Bedürfnisse,needs
möglich,possible
könnte,might
professionell,professional
noch,yet
Monat,month
Haupt,major
Stern,star
Bereiche,areas
Zukunft,future
Raum,space
Ausschuss,committee
Hand,hand
Sonne,sun
Karten,cards
Probleme,problems
Treffen,meeting
werden,become
Interesse,interest
Kind,child
behalten,keep
eingeben,enter
teilen,share
ähnlich,similar
Garten,garden
Schulen,schools
Million,million
hinzugefügt,added
Referenz,reference
Unternehmen,companies
aufgelistet,listed
Baby,baby
Lernen,learning
Energie,energy
laufen,run
Lieferung,delivery
Netz,net
beliebt,popular
Begriff,term
Film,film
Geschichten,stories
stellen,put
Computer,computers
