(He) has,(Er) hat
(it) was,(es) war
aber,but
about,über
all,alle
alle,all
als ein…,as a…
also,auch
an,ein
and,und
andere,other
Ansicht,view
any,"jede
irgendwelche"
are,sind
as,als
at (preposition),bei (Präposition)
auch,also
auf,on
aus,out
back,zurück
be,sein
been,gewesen
bei,at
bekommen,get
Besser als…,Better than…
business,Geschäft
but,aber
by,von
can,können
click,Klick
contact,Kontakt
dass,that
date,Datum
Datum,date
dein,your
der,the
Dienst,service
Dienstleistungen,services
dies,this
diese,these
do,tun
dort,there
du,you
ein,an
einige,some
eins,one
erste,first
es,it
Es geht hoch…,It goes up…
find,finden
finden,find
first,erste
for,für
free,frei
frei,free
from,von
für,for
Gemacht von…,Made by…
Geschäft (≠Laden),business
get,bekommen
gewesen,been
haben,have
had,hatte
hat,has
hatte,had
have,haben
help,Hilfe
here,hier
hier,here
Hilfe,help
his,sein
home,Zuhause
how,wie
Ich gehe zu…,I go to…
if,wenn
ihre (Mehrzahl),their (plural)
in,in
in,in
Information,information
information,Information
Irgendwelche Möglichkeiten…,any options…
is,ist
ist,is
it,es
its,seine
jetzt,now
just,nur
kann,"may
can"
Klick,click
Kontakt,contact
können,"can
may"
like,"mögen
wie"
list,Liste
Liste,list
may,kann
me,mich
mehr,more
mein,my
Menschen,people
mich,me
mit,with
more,mehr
my,mein
mögen,like
Nachrichten,news
name,Name
Name,name
nein,no
Netz,web
neu,new
new,neu
news,Nachrichten
nicht,not
no,nein
not,nicht
now,jetzt
nur,"just
only"
nur,only
oben,top
oder,or
of (specification,von (Spezifikation)
on,auf
one,eins
online,online
online,online
only,nur
or,oder
other,andere
our,unser
out,aus
over,über
page,Seite
people,Menschen
Preis,price
price,Preis
search,suchen
see,sehen
sehen,see
sein,be
sein (er),his (he)
seine,its
Seite (Buch),page
Seite (Position),site
service,Dienst
services,Dienstleistungen
sie (plural),they (plural)
sind,are
site,Seite
some,einige
suchen,search
than,als
that,dass
the,der
their,ihre
there is a…,dort ist ein…
these,diese
they,sie
they were…,Sie waren…
this,dies
time,Zeit
to,zu
top,oben
tun,do
und,and
uns,us
unser,our
up,hoch
us,uns
use,Verwendung
Verwendung,use
view,Ansicht
von (Ort),from
von/mit (Spezifizierung),of (specification)
wann,when
waren,were
was (?),what (?)
Was war…,What was…
we,wir
web,Netz
welche,which
wenn,if
wer,who
werden,will
what,was
when,wann
which,welche
who,wer
wie?,how?
will,werden
wir,we
with,mit
would,würde
würde,would
you,du
your,dein
Zeit,time
Zuhause,home
zurück,back
über,about
über (Präposition),over (preposition)
